concern,argument
long_term_effects,I worry the long term effects will be worse
long_term_effects,The vaccines have not been out long enough yet to see the long term effects.
long_term_effects,I agree with herd immunity but if the vaccine causes long term side effects and everyone gets vaccinated we will have a much serious problem on our hands.
long_term_effects,A long time ago doesn't matter. We know nothing about this slickness.
long_term_effects,Because we have no long term testing of the covid vaccine.
long_term_effects,The vaccine may not have long lasting coverage 
long_term_effects,yes i have heard this before but i am still not convinced - what if there are long term side effects that have not yet been discovered ? 
long_term_effects,Who knows what side effects short and long term the vaccine can bring to people. It may be even worst than Covid itself 
long_term_effects,Not enough research on the long term effects
long_term_effects,i'm waiting for research on the long term effects of the vaccine and the effectiveness between variants
long_term_effects,yea but for how long if we all suffer long term health problems from it
long_term_effects,but what about the long term ones?
long_term_effects, Ok so it might be safe for short term use but not long term use given how new it is
long_term_effects,"that sounds pretty shit. but a vaccine might cause ever-lasting instead of long lasting side effects, no?"
long_term_effects,The vaccine hasn’t been going for long enough to know the effects 
long_term_effects,There is no way of knowing the long-term side effects
long_term_effects,"This is true, but once again, no one is sure of the long-term effects of this vaccine. The current studies being conducted and released only cover a small fraction of what can be possible."
long_term_effects,that is not true! I would be super worried about long term consequences of the vaccine
long_term_effects,but the long term side effects of the vaccine might be worse than long covid
long_term_effects,you are talking about short term effects but what about long term effects of the vaccine and note that it is given to everyone regardless of age or medical background.
long_term_effects,long term effects of vaccine
long_term_effects,well you see just because we know the short-term side effects we don't know the long-term side effects
long_term_effects,just because we know the ingredients doesn't make it any less possible to have adverse long-term side effects
long_term_effects,The MRNA vaccine technology is new and there is relatively little information on the long-term effects.
long_term_effects,We have only known about covid for a year. We do not have enough experience or knowledge to be able to make any long-term claims.
long_term_effects,I would still worry because I do not know the long-term effects of the vaccine or if they will make me susceptible to some other issue.
long_term_effects,That is a statement of conjecture. There is no way to know if the long term side-effects are more likely than the long term side effects from the vaccine because not enough time has passed in order to make any long-term comparisons.
long_term_effects,mRNA is a new technology. There is no long history with this type of vaccine.
long_term_effects,"the vaccine wasn't tested long enough, what about long term side effects?"
long_term_effects,Long term risks 
long_term_effects,I would still be worried about potential long term effects
long_term_effects,what about the long term side effects?
long_term_effects,Some people have complained about side effects that last a long time
long_term_effects,How do you know there aren’t long term side effects
long_term_effects,"You say a very long time ago, Covid has only been around for a year ?"
long_term_effects,But not all Covid survivors have long terms effects do they
long_term_effects,But what about long term side effects
long_term_effects,"Nevertheless, long term effects are still an issue. We can't predict the future."
long_term_effects,"That's one of my worries - there is so much we don't know about the vaccine - efficacy, long-term side effects and how often the vaccine is needed."
long_term_effects,No one can say that the long term effects of the vaccine are less than COVID as it hasn't been tested enough.
long_term_effects,I will worry about potential long term effects!
long_term_effects,I have heard of long covid but dont know anyone who had it
long_term_effects,But we don't know anything about potential long term side effects
long_term_effects,and long term side effects that cant be observed now?
long_term_effects,you didnt answer my question but ok - I would still be worried about potential long term effects
long_term_effects,I'm more fearful of long-term side effects to be honest as these may have life altering consequences
long_term_effects,The percentage of people suffering from long covid is low though and I find your argument not particularly convincing 
long_term_effects,You are right but we still don’t know the long term side affects from this drug or even from covid
long_term_effects,I think it’s too early to speculate that long term effects are more likely from Covid than they are the vaccines. People thought for many years smoking was safe before realising it wasn’t 
long_term_effects,"I understand all that, but there is no way of knowing any long term side effects"
long_term_effects,It seems risky to have a vaccine which could lead to bigger problems down the line
long_term_effects,But we are still not sure about the long term effects
long_term_effects,Because it has not been researched long enough.
long_term_effects,"Still, the long therm effects are unknown"
long_term_effects,The effect of the vaccine for the long therm is unknown
long_term_effects,It hasn’t been around long enough to know it’s safe 
long_term_effects,Not sure about its long term side effects
long_term_effects,"ok fair enough, but what about long term side effects"
long_term_effects,I would rather wait and see whether there are any long term side effects from the vaccine
long_term_effects,Given I dont know the long term side effects I would stll worry
long_term_effects,I don't want to inject my body with a foreign vaccine where i do not know the long-term effect
long_term_effects,But there is no data on the long term side affects of using the vaccine
long_term_effects,they can not know what the long term side effects are as the testing was so short
long_term_effects,being able to go out with friends isn't worth the risk of long term health issues the vaccine may bring
long_term_effects,just going to wait until there is more information about the effects of the vaccine long term
long_term_effects,but no long term effects have been tested
long_term_effects,Long term side effects are not known or tested yet
long_term_effects,"Even if ingredients are known, they are not known in long term as no one has tested any of the covi-19 vaccines for more than 3 months"
long_term_effects,long term effects unknown
get_spread_covid,We hope so.how can u be so sure that this vaccine will stop us getting the virus again.? 
get_spread_covid,the COVID vaccine doesn’t stop you from catching COVID though 
get_spread_covid,I only get vaccinated when I need to travel abroad.
get_spread_covid,But it has already been said that if you have the vaccine you can still spread it 
get_spread_covid,"So you agree that mistakes can happen? It doesn't matter how long ago these mistakes happened, it is still a risk. "
get_spread_covid,"the way i see it is a 50/50 toss up youre stuck regardless of you getting the vaccine or not getting the vaccine the only surefire way to fully stop the spread is not be exposed, and how is that even possible when people dont even follow the rules as it is."
get_spread_covid,"The vaccine just reduces your chances, doesn't stop you getting it"
get_spread_covid,You can still get covid with the vaccine
get_spread_covid, I disagree as the vaccine doesn’t prevent you from catching or spreading Covid 
get_spread_covid,As it won’t make me immune to having covid
get_spread_covid,IT DOES NOT PREVENT ME FROM GETTING It 
get_spread_covid,It still doesn't protest you from getting corona virus. It just make it milder
get_spread_covid,Also you can’t choose which vaccine you get
get_spread_covid,The vaccine doesn’t stop anyone getting it
get_spread_covid,"I mean the vaccine is not guarantee to avoid covid, it’s just decreasing the rate of getting it"
get_spread_covid,i read that even with the vaccine you can still transmit covid and will likely need 3 jabs and still need to wear masks
get_spread_covid,"Yeah but surely herd immunity could occur through the vaccination of the most vunerable groups as I would be one of the last to be vaccinated. I am young and fit, so it is very unlikely Covid will have much impact. Also the government have been picking and selecting scientific advice and the vaccine doesn't stop you getting the virus either. "
get_spread_covid,i dont think enough people will vaccinate to protect those that cannot get the vaccine unless it becomes mandatory
get_spread_covid,You’ve just argued that you can still transmit it with the vaccine so I don’t believe it will protect us all if there are people unable to get it. 
get_spread_covid,but even with the vaccine you can still get covid cant you
get_spread_covid,The vaccine doesn’t make you immune
get_spread_covid,The vaccine doesn’t stop you spreading it
get_spread_covid,This is also false.  These vaccines do not prevent you from getting the virus.
get_spread_covid,you can still transmit the virus with the vacinne
get_spread_covid,But i think it is very unlikely anyway that i will get Covid.
get_spread_covid,"Well, I mean, the vaccine doesn't eradicate all illnesses"
get_spread_covid,"Yes, but herd immunity is only if noone can catch the virus, sadly tje vaccine doesn't give protection against the virus"
get_spread_covid,"As I said herd immunity exists only if we won't be able to catch the virus, the vaccine doesn't give protection against it"
get_spread_covid,"It doesn't stop people from catching the virus, though, so this is a misleading argument"
get_spread_covid,You cannot know that for sure as people who are currently getting the vaccine are among the first and are essentially guine-pigs
get_spread_covid,It is also a very htpothetical to suggest that i can get Covid19. 
get_spread_covid,I can still pass on COVID to someone else
get_spread_covid,"If it doesn’t stop me getting COVID, nor does it stop me spreading it. I don’t understand the benefit of having it. "
get_spread_covid,"This is about control, not her immunity as the virus can still be spread"
get_spread_covid,Id rather try to avoid catching covid and not getting vaccinated
get_spread_covid,Because it can be cured with Hydroxychloroquine
get_spread_covid,"I dont believe their is prove that this vaccine will stop the spread of the virus, so too much of contradictions "
get_spread_covid,COVID doesn’t bother me I’m not worried about my Heath 
get_spread_covid,My boyfriends grandpa received the covid vaccine and2
get_spread_covid,"But it has been shown that having the vaccine does not prevent you from becoming infected again, nor does it prevent you from infecting other people. So why have it? That is not a credible vaccine."
get_spread_covid,"yea you're probably right. at least I wont have to be paranoid about me or any of my family or friends catching it if we all get vaccinated, even if we wont achieve herd immunity"
get_spread_covid,But the vaccine doesn't make it 100% certain you won't get the virus
get_spread_covid,You can still get virus with vaccine
get_spread_covid,It has been spread to more than 80% of population. We have to develop immunity by ourselves because nothing can fully protect us anyway 
get_spread_covid,They can get ill with the other mutations.
get_spread_covid,The vaccine has not been proven to prevent covid or covid transmission. It has only been shown to reduce symptoms in those who are exposed.
get_spread_covid,but you will still be able to transmit the virus
get_spread_covid,Because it won't protect me from getting covid and it won't protect my relatives from getting it from me
get_spread_covid,But you won't get immunity after vaccine. You can still get covid. 
get_spread_covid,No it won't. You still can get covid after vaccine. 
get_spread_covid,I’ve read that even when you’ve had the vaccine you can still spread Covid you just don’t suffer the illness
get_spread_covid,I disagree as it’s still not been proven that vaccinated people can’t spread the disease
get_spread_covid,Because apparently you can still get covid after getting it
get_spread_covid,I think they are another methods to stop the spread of the virus
get_spread_covid,This drug will not stop us getting the virus it will only help in not getting it so bad
get_spread_covid,Because it does not 100% prevent me from catching covid
get_spread_covid,I am not getting the vaccine or anything bill Gates has anything to do with because he has gone on record as saying he wants to depopulate the human race and this vaccine hoax is a way the elites can do this
get_spread_covid,There are people vaccinated still get infected
get_spread_covid,"Current jabs don't stop people getting or transmitting the virus, but people are not getting that message. If they think they are immune, they will go back to normal life and the spread will make 2020 look like a stroll in the park."
get_spread_covid,It doesn't provide immunity.
get_spread_covid,"The current treatments are just that - treatments. They aren't vaccines, they don't provide immunity and they won't stop the spread. They will accellerate it."
get_spread_covid,"A packet of cough sweets doesn't stop people getting flu, it only helps with the symptoms. These so-called vaccines are no different."
get_spread_covid,might get covid from the vaccine
get_spread_covid,but you can still get and transmit covid I have read
get_spread_covid,No it doesnt stop us from getting covid
get_spread_covid,"I know however, they say you can still catch the virus even after getting the vaccine."
get_spread_covid,Getting ill 
get_spread_covid,Doesn’t stop you from getting the virus 
get_spread_covid,Not everyone will get it so here immunity can’t be created
get_spread_covid,How can you say that for certain? You can't guarantee that so you can't state that as a fact
get_spread_covid,"Again, you don't know that for certain. We have no proof to say you can't still transmit the virus"
get_spread_covid,But you can still catch the virus after having the vaccine
get_spread_covid,But you can still die from covid 19 after you have taken the vaccine
get_spread_covid,there are a percent of people who can not take vaccines anyway 
get_spread_covid,"but you can still get ill after a vaccine, people who get the mmr can still gets mumps for example"
get_spread_covid,but you can still catch it?
get_spread_covid,no because you can still catch it and get ill
get_spread_covid,people that get the vaccine can be a carrier without knowing and pass it on to someone that's not immune and then they can get ill and can cause death 
get_spread_covid,"you won't get the symptoms, you can still get the virus and pass it on not knowing "
death,the evidence shows that elderly people in care homes are dying 
death,yet they are dying in huge numbers after getting the vaccine
death,thats just certain peoples opinion
death,people die if they get the vaccine 
death,Are people dying and getting sick from the vaccine?
death,I hadn’t heard of people dying from it. 
death,but lots of people have died from having the vaccine or even caught covid shortly after the vaccine
death,Some people have been dieing from the vaccine.
death,Some people can die or get seriously ill for taking the vaccine 
death,There are some people who reported sideeffects already after taking it. There are some people who still died from Covid even after taking the vaccine 
death,I could die
death,Many People have died from the covid vaccine already!
death,They have died from the vaccine
death,people are dying from the vaccine 
death,more people have died after the vaccine was rolled out
death,"I don't even get flu vaccines, and people have been dying after taking the vaccine"
death,What if I die from the vaccine
death,some people have died from the vaccine
death,What if I die
death,i believe people should be allowed to choose for themselves
death,what if i die from the vaccene
death,I have considered that but I would rather more people take it first
death,my grandfather died from the vaccine
death,"Yeah, and I will be in the minoriry of unvaccinated people "
death,How can people die from it?
death,I disagree. There is evidence that people are dying after having the vaccine
death,some people that have allergies can die from the vaccine
fast_development,"i do not want the vaccine because it has been developed in a short amount of time, so i'm not sure if it is safe"
fast_development,It's been developed in a hurry
fast_development,The vaccine was made too quickly 
fast_development,Because I feel it’s been brought out too quickly
fast_development,"exactly, this vaccine was very short development"
fast_development,speed the vaccine was developed
fast_development,If it was made so quickly how do you know that it works
fast_development,I think everything has been to quick and I don't really believe in plying my body with chemical drugs
fast_development,You haven’t answered my argument
fast_development,Not confident in it. Took very little time to develop
fast_development,it was rushed
fast_development,Because vaccines take years to develop and test and this somehow is ready in less than a year
fast_development,most vaccines take years to make
fast_development,Feel it may have been rushed somewhat
fast_development,because it has been developed and rolled out so fast
fast_development,It’s been developed in a year. I don’t want to inject something without years of research backing up my safety
fast_development,it was rushed 
fast_development,"This vaccine was made very quickly though, could say it's been rushed"
fast_development,cos its fast
fast_development,It was rushed 
fast_development,Because the vaccine was made so quick. 
fast_development,There might not be enough vaccinations to be given to everyone and everyone may not be able to afford to have a vaccine
fast_development,because it has only being developed in the past year
fast_development,the mRNA has never passed animal-testing before because it ALWAYS killed all the animals. these tests were bypassed in the COVID-19 vacinne development
fast_development,but in the past vaccines were not developed as rushed
fast_development,"The the vaccine was rushed, how can we trust it"
fast_development,"I am not sure it is safe, it was made too quickly"
fast_development,it was developed too quickly
fast_development,i don't trust the vaccine as it was approved too quickly
fast_development,What if we are risking ourselves for short amusements 
fast_development,Its all being rushed 
fast_development,because it was created way too fast compared to any other vaccine
fast_development,How can a credible vaccine be developed in such a short space of time though? Doctors have speculated how it can be developed so quickly when vaccines normally take years to develop and monitor adverse side effects.
fast_development,It has been made too quickly and barely been tested 
fast_development,"because it was developed so fast, because of the misinformation everywhere, I just dont want to risk taking it"
fast_development,development was too rushed
fast_development,"usually, so what you're saying is they haven't been as vigorous in testing this vaccine as they should be and therefore i shouldn't get the vaccine."
fast_development,I am not against vaccines but this one seems a bit too rushed and I would rather wait a bit before I would consider getting it
fast_development,makes sense but given I am not in the risk group it will probably still take a while until I get it and more will be known by then
fast_development,because it takes years to test this kind of vaccine
fast_development,You have made an anti-vaccination argument to argue for the COVID-19 vaccine.
fast_development,the development has been super rushed
fast_development,maybe but I'd rather not inject something into my body that has been so fast developed
fast_development,but no vaccine has ever been developed to fast in the past either
fast_development,because the vaccine was produced too quickly
fast_development,But the vaccine was developed in less than a year!
fast_development,We haven't had enough time to test it
fast_development,It all happened so fast
fast_development,true but given how fast the vaccine was developed I am not sure what to think of it
fast_development,"That is another reason I don't want to, because of the expedited process to get the vaccine out as quick as possible and lack of proper testing. I don't trust it."
fast_development,Its still not safe. There are many repurcussions to taking a vaccine that was made so quickly
fast_development,That’s fine but I still don’t trust it and the speed it was produced in 
fast_development,This is not true. Drugs have been made fast before in the last 20years and law suits are out against the drug companies 
fast_development,What if the vaccine has been rushed 
fast_development,I’m not sure that it is. This vaccine has been passed too quickly. I don’t understand how they can find a vaccine so quickly for this but not other things like cancer  
fast_development,Science is wonderful but it isn’t always right. This programme has been rushed and I’m not convinced the vaccine is right for me despite being a frontline worker
fast_development,It seems too quick
fast_development,I fear safety had been compromised for speed
fast_development,The vaccine was made too quickly in my opinion
fast_development,The testing phase was short
fast_development,in the past vaccines were not developed that fast
fast_development,Other vaccines take longer to become available to the public this one is too quick 
fast_development,The vaccine is rushed too fast 
effectiveness,vaccine doesn’t work
effectiveness,The vaccine may not be effective for me
effectiveness,"I have, and my family and friend are free to make a decision that works best for them. Covid 19 is not a joke but neither is an 'unqualified' vaccine "
effectiveness,probably that's what will happen. Lot's of people will vaccine just because they need to travel for work
effectiveness,Uncertainty that it will work
effectiveness,Again no guarantee it will 100% work
effectiveness,"Because until I see clear cut evidence that this is working, I will not change my mind"
effectiveness,How do you know it works
effectiveness,doesnt work
effectiveness,The government themselves are unsure weather the vaccine will work
effectiveness,That doesnt affect me as i fully work from home and enjoy doing so
effectiveness,I don’t think the vaccine is working for everyone.
effectiveness,Yes but it may not be fully effective
effectiveness,not enough testing to prove it actually works
effectiveness,The covid 19 vaccine will change my DNA and will alter the way my body works that is why I do not want to take it
effectiveness,Why do i still need to wear a mask then after taking the vaccine if it really workd why would i neef to get revaccinated that means it doesnt work
effectiveness,is it effective
effectiveness,"Taking the vaccine, does not reduce the risk as it could be ineffective"
effectiveness,well that shows its not as effective as first thought 
effectiveness,how do you know how long the vaccine works for ?
effectiveness,which vaccine do we know is the most effective
effectiveness,but their is no evidence neither that it works
effectiveness,i wonder are these vaccine really working or not
effectiveness,i dont think there has been enough testing and i think as its not 100% effective the likelihood of catching covid 19 wont be reduced enough to be effective
effectiveness,How effective is the vaccination for young people
effectiveness,but we don't know how effective the vaccine is
effectiveness,i just dont believe it will work. and not everyone will get it
effectiveness,so the vaccine does not contain an active ingredient? I need to research how it works then
effectiveness,only if the vaccine works
effectiveness,the vaccine was tested by having 2 doses within a couple of weeks and the government have changed this with regard to if it is still effective
effectiveness,a hostory of covid should technically work in the sam eway as the vaccine if the dose is not active
effectiveness,"i must worry, the vaccine is a work in progress"
side_effects,There have been reports or people with negative reactions.
side_effects,But what if I experience an unexpected side effect
side_effects,because I'm afraid of the side affects
side_effects,"yes, that is if the true but if the sides affects are fatal, is it worth it?"
side_effects,that still doesnt tell me how its going to effect me 
side_effects,I am concerned about the side effects.
side_effects,What about side effects
side_effects,"The vaccine came too quickly, side effects may show in two years"
side_effects,What about the vaccine side effects
side_effects,Side effects are still unknown 
side_effects,because of side effects
side_effects,"I disagree at this point, because vaccination doesn't mean you will never get infected, plus we don't know about side effects as well. i am especially worried about my parents and elderly people"
side_effects,I think we still need more evidence that vacine doesn't have significant side effects.
side_effects,I would like to have a baby and I'm worried the vacinr will negative effect on my unborn child. 
side_effects,I'm not worried about short term effects.
side_effects,will have side effects
side_effects,side affects?
side_effects,But what are the side effects
side_effects,But how do you know? All drugs have side effects that only means we have to take more drugs for those side effects and it is just is a drug circle
side_effects,There hasn’t been enough testing and the side effects aren’t very well known 
side_effects,there could be side effects down the line though
side_effects,The vaccine had caused people I know to have side affects such as seizures
side_effects,Some of the side affects aren’t temporary though
side_effects,"Despite being tested on others, I fear for the side effects that may occur "
side_effects,I am worried about the side effects
side_effects,"Because I do not know what it is made out of, and what the side effects are"
side_effects,There are hidden side effects that will emerge
side_effects,adverse reaction
side_effects,It may have side effects though
side_effects,Has enough time passed to allow for negative side effects to show? 
side_effects,"No, because some people that have been vaccinated say that they had side effects (e.g.trembling)."
side_effects,If vaccines do work then why are there videos of people who are suffering the side effects from getting vaccinated
side_effects,The vaccine will not protect us it does not work hence why there are people who having side effects becoming paralysed and having fits and body seizures
side_effects,worried about side effects
side_effects,that no reason to ignore side effects
side_effects,I am willing to take the risk over vaccine side effects
side_effects,there are short term side ffects too??? I was worried about long term side effects but now there is no way I wil ltake it
side_effects,"Sure, but what about the side effects?"
side_effects,"Eh, would rather not have one than manage the side effects"
side_effects,Worried about the side effects
side_effects,i have two neurological conditions which mean if i have an adverse reaction i will suffer greatly 
side_effects,What about the side effects?
side_effects,but there are side effects to the vaccine
side_effects,Ok what if i accept the vaccine and in 5 years i get serious side effects
side_effects,I am scred of the side effects
side_effects,given the potential side effects I would definitely still worry!
side_effects,how about the effects of the vaccine it self 
side_effects,it may have side effects
side_effects,i would rather wait until those side effects are reduced to acceptable level
side_effects,Well I have heard from NHS professionals that doctors are divided whether it is safe to take if you are pregnant. I am not currently pregnant but I don’t want any adverse side effects if I do decide to start a family.
side_effects,"AnNHS professional told me that it effects fertility in women for up to 8 months. If this is what we know now, what further side effects could we know in 10 years?"
side_effects,Ive seen the adverse reactions of many people since having the vaccine
side_effects,"that is not true because there are very few information on the side effects of the vaccine, which is daunting because it is forcefully already given to many people and some have also died."
side_effects,"So you say, there is still no evidence of that as I have learn't of people who suffer side effect from getting the vaccine. It has also led to some death, how do you justify that to your family and loved ones? I am not sold to taking the vaccine yet sorry"
side_effects,"Not everyone experiences COVID-19 symptoms to the same degree. It's possible that some people will not have severe unpleasant side-effects, especially if they are healthy."
side_effects,Worried about side effects
side_effects,why can't i wait a year and then get it later when we know the side effects?
side_effects,I'm scared of the side effects
side_effects,Because I am worried about the side effects 
side_effects,I am worried about the potential side-effects.
side_effects,hm ok makes sense. but what about side effects from it
side_effects,what about side effects?
side_effects,I'm not at risk of serious side effects from COVID-19
side_effects,The side effects could be potentially serious
side_effects,What about the adverse side effects 
side_effects,Some people have had serious side effects 
side_effects,I’m not worried about my health at the moment. I’m washing my hands and wearing a mask. I’m doing the best I can and my family and friends are too. I’m worried if they get the vaccine there may be side effects from it
side_effects,Short term side effects could be very detrimental for some people. I am concerned how my body would react to the vaccine 
side_effects,"Sure, but what about possible side effects?"
side_effects,"Yes, but I don't want to risk having those side effects"
side_effects,Because it has stupid side affects 
side_effects,But what if in a few years serious side effects emerge?
side_effects,Side effects
side_effects,I'm unsure about potential side effects
side_effects,But some people have had bad side effects after taking the vaccine
side_effects,There could be so many side effects that we don't know about
side_effects,The possible danger from side-effects is more problematic to me than going out with friends. I can live without that as my health is more important.
side_effects,the vaccine might have some side effects
side_effects,Fair enough but what about side effects 
side_effects,But we don't know the side affects of the vaccine on future generations 
side_effects,Because we don't know the side effects of the vaccine yet 
side_effects,"the vaccines might work, and also have side effects"
side_effects,people that are already have conditions such as allergies get serious side effects from the vaccine so not everyone will get the vaccine
safety,How is this vaccine safe?
safety,vaccine havent been tested properly
safety,I am concerned about its reliability
safety,"That is true, but a vaccine that hasn't been properly tested could be more dangerous than the virus itself."
safety,but saying its safe doesnt 100% make it safe. lots of things in the past have had issues we never calculated.
safety,I don't trust it was fully and properly tested 
safety,I don’t think COVID-19 would be dangerous to me
safety,safety concerns
safety,I would rather stay at home indoors like this and be safe
safety,I don’t think it’s been tested enough. Don’t trust it 
safety,But what if the vaccine is dangerous?
safety,still concerned about efficiency of the vaccine
safety,I just don’t trust it
safety,It's hasn't been tested long enought.
safety,I am worried about its safety
safety,but what if it is unsafe
safety,it is not a safe way if the vaccine is not safe
safety,doesnt seem safe
safety,But is the vaccine safe for me? You state that it is safe without knowing any of my medical history.
safety,It hasn't been tested properly 
safety,That isn’t the same answer as before 
safety,They have been developed very quickly and not tested in the usual way.
safety,Prove to me that I will be safe with a vaccine
safety,hasn't been tested properly 
safety,"No it is not the only safe way, not everyone needs it! Therefore it is a choice."
safety,I don’t trust it
safety,"Because it’s sped up, they’re skipping the safety precautions and just rushing it out as soon as possible"
safety,Where is the evidence that says it is safe?
safety,There’s still not enough evidence to guarantee my safety if I take the vaccine
safety,I dont want to get a vaccine for something so deadly i need to be tested to see if i even have it
safety,dangerous chemical
safety,I want to wait till it has had longer testing
safety,"I do not trust that they have been adequately tested, most vaccines and treatments go through rigorous tests for years at a time before they are even considered for human use."
safety,Not enough research and the additives in the vaccine are dangerous
safety,"It still not tested enought. Usually, vaccines are getting tested for years before given to the public."
safety,There has not been enough testing performed on these vaccines.
safety,They have not been tested properly and proper research has not been done on them
safety,worried about the safety of vaccine 
safety,Because i don't think it has been tested enough.
safety,I still feel it is unsafe.
safety,I am still very concerned that the vaccine is not safe.
safety,no way a vaccine that was developed in half a year is safe
safety,I don't trust that it is safe just yet.
safety,im not sure the vaccine is safe
safety,the government lies about the safety of the vaccine 
safety,it is dangerous to human body
safety,There aren't many data that proof its safety
safety,Who will take the blame if vaccine proves to be more harmful than good
safety,I just dont think the vaccine is safe enough in longterm
safety,There are other ways to stay safe
safety,it might be dangerous
safety,I believe its unsafe
safety,i do not belive it is safe
safety,a vaccine can not be developed and tested in 7 months
safety,a safe vaccine take years to  develope and test
safety,I don’t ant it because it may not be safe yet and I don’t feel it has been tested enough. Or as much as other vaccines have. They took years To develop so why wouldn’t the others
safety,Not sure Ernst have been tested enough 
safety,exactly we dont know whether the vaccine is safe
safety,It looks that it is not properly tested
safety,I am not sure how safe it is
safety,I will consider its safety and effectiveness (how well it works) in people. It seems still not mature yet.
safety,I do not feel that it has been tested for a long enough time frame to be sure it works
safety,They don’t know that it creates hers immunity though that hasn’t been tested 
safety,I am still worried about the safety of the vaccine 
safety,but it has not been properly tested
safety,The vaccines are not safe at all
safety,"Just because it has been tested, doesnt mean that it will be safe and perfect for everyone to use. Its too early"
safety,I just don’t trust it 
safety,Because I don’t trust it 
safety,What if the vaccine is dangerous?
safety,It might be unsafe
safety,The vaccine could be dangerous
safety,I do not believe it is safe yet
safety,What if it is harmful
safety,I do not think it is deemed safe yet
safety,Hasn't been throuroughly tested
